tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
42,3,91,1198.75,14,2,"[0, 0, 100]","[27.98397748126442, 32.08861339795912, 39.92740912077647]","[13.991988740632207, 16.04430669897955, 69.96370456038824]",1.62857143,1.0,0.2798397748126442,1,10
58,1,0,0,1,-1,"[0, 0, 0]","[41.04217897364646, 42.706914679923194, 16.25090634643034]","[0, 0, 0]",0.85714286,1.0,0.4104217897364646,1,-1
73,1,0,0,1,-1,"[0, 0, 0]","[25.92934015023131, 32.01407327947232, 42.056586570296375]","[0, 0, 0]",0.17142857,1.0,0.2592934015023131,1,-1
88,1,0,0,1,-1,"[0, 0, 0]","[28.28158553605831, 23.898817445740566, 47.81959701820113]","[0, 0, 0]",-1.54285714,1.0,0.28281585536058307,1,-1
99,1,0,0,1,-1,"[0, 0, 0]","[11.156708136988597, 17.51083095594815, 71.33246090706325]","[0, 0, 0]",-2.31428571,1.0,0.11156708136988597,1,-1
161,1,0,0,1,-1,"[0, 0, 0]","[27.298087139314468, 31.94060909193584, 40.7613037687497]","[0, 0, 0]",-2.57142857,1.0,0.2729808713931447,1,-1
170,1,0,0,1,-1,"[0, 0, 0]","[43.83814133470747, 30.915008160748613, 25.24685050454391]","[0, 0, 0]",-1.11428571,1.0,0.4383814133470747,1,-1
172,1,0,0,1,-1,"[0, 0, 0]","[15.949468638822673, 28.10887171448993, 55.941659646687384]","[0, 0, 0]",-0.68571429,1.0,0.15949468638822673,1,-1
184,1,0,0,1,-1,"[0, 0, 0]","[31.136876360214437, 40.620492981091694, 28.24263065869387]","[0, 0, 0]",-0.68571429,1.0,0.3113687636021444,1,-1
200,4,20.1875,40.375,3,0,"[100, 0, 0]","[40.98290112969109, 31.042024337037795, 27.975074533271123]","[70.49145056674361, 15.521012166153161, 13.987537267103228]",2.22857143,1.0,0.40982901129691096,1,-1
206,4,5.0,5.0,2,0,"[100, 0, 0]","[30.042805937679223, 40.80003308572172, 29.157160976599055]","[65.02140296883958, 20.40001654286088, 14.578580488299542]",2.74285714,1.0,0.30042805937679223,1,-1
11,1,0,0,1,-1,"[0, 0, 0]","[8.903038022897015, 13.197269897446477, 77.89969207965652]","[0, 0, 0]",-2.65714286,1.0,0.08903038022897014,1,-1
25,1,0,0,1,-1,"[0, 0, 0]","[35.07596530049743, 24.112174643367318, 40.81186005613527]","[0, 0, 0]",-2.65714286,1.0,0.3507596530049743,1,-1
57,4,10.0,10.0,2,0,"[100, 0, 0]","[30.882796613965237, 37.89055186025007, 31.2266515257847]","[65.44139865574704, 18.945273831331978, 15.613327512920993]",0.77142857,1.0,0.30882796613965235,1,-1
63,1,0,0,1,-1,"[0, 0, 0]","[22.035911913038607, 28.85062119655898, 49.11346689040242]","[0, 0, 0]",-0.77142857,1.0,0.22035911913038608,1,-1
72,1,0,0,1,-1,"[0, 0, 0]","[32.05811733702647, 29.937851954255528, 38.00403070871802]","[0, 0, 0]",0.08571429,1.0,0.32058117337026465,1,-1
80,1,0,0,1,-1,"[0, 0, 0]","[27.36197256232515, 27.82119104005615, 44.8168363976187]","[0, 0, 0]",-1.2,1.0,0.2736197256232515,1,-1
86,1,0,0,1,-1,"[0, 0, 0]","[25.023296905041715, 28.872604566517513, 46.104098528440765]","[0, 0, 0]",-1.62857143,1.0,0.25023296905041714,1,-1
183,1,0,0,1,-1,"[0, 0, 0]","[21.780202338193323, 28.042824266010136, 50.176973395796544]","[0, 0, 0]",-0.77142857,1.0,0.21780202338193322,1,-1
193,4,95.9375,1439.0625,16,2,"[0, 0, 100]","[32.085218508153844, 38.901580876316835, 29.01320061552931]","[16.04260925407658, 19.45079043815752, 64.50660030776591]",1.54285714,1.0,0.32085218508153845,1,-1
199,3,69,11.75,2,1,"[0, 100, 0]","[29.76002849150023, 39.108209482677964, 31.131762025821804]","[14.880014245750115, 69.55410474133899, 15.565881012910902]",2.14285714,1.0,0.2976002849150023,1,12
205,4,10.0,10.0,2,0,"[100, 0, 0]","[31.8600124105949, 39.20640133163181, 28.933586257773293]","[65.93000620529003, 19.60320066582261, 14.466793128887371]",2.65714286,1.0,0.318600124105949,1,-1
8,1,0,0,1,-1,"[0, 0, 0]","[9.150649230195903, 10.986965715873795, 79.8623850539303]","[0, 0, 0]",-2.74285714,1.0,0.09150649230195902,1,-1
9,1,0,0,1,-1,"[0, 0, 0]","[16.989292114204016, 27.678701596697113, 55.33200628909887]","[0, 0, 0]",-2.74285714,1.0,0.16989292114204016,1,-1
36,1,0,0,1,-1,"[0, 0, 0]","[22.11542145150321, 22.100778630196384, 55.78379991830042]","[0, 0, 0]",-2.14285714,1.0,0.2211542145150321,1,-1
41,4,95.3125,762.5,9,2,"[0, 0, 100]","[23.95978305799257, 35.385839593857696, 40.65437734814974]","[11.979891529064055, 17.692919796994655, 70.32718867394128]",1.45714286,1.0,0.2395978305799257,1,-1
55,4,20.0,20.0,2,0,"[100, 0, 0]","[28.97183207473857, 36.0893251651928, 34.93884276006863]","[64.48622775169753, 18.04390585600219, 17.469866392300293]",0.68571429,1.0,0.2897183207473857,1,-1
62,1,0,0,1,-1,"[0, 0, 0]","[26.139301752716538, 24.025822576305046, 49.8348756709784]","[0, 0, 0]",-0.85714286,1.0,0.26139301752716537,1,-1
71,1,0,0,1,-1,"[0, 0, 0]","[38.23430087352886, 28.034400314796002, 33.731298811675146]","[0, 0, 0]",0.0,1.0,0.3823430087352886,1,-1
79,1,0,0,1,-1,"[0, 0, 0]","[23.741313259648162, 37.90242743384432, 38.3562593065075]","[0, 0, 0]",-1.71428571,1.0,0.2374131325964816,1,-1
81,1,0,0,1,-1,"[0, 0, 0]","[12.952356721414093, 18.531169259761498, 68.51647401882441]","[0, 0, 0]",-1.28571429,1.0,0.12952356721414093,1,-1
83,1,0,0,1,-1,"[0, 0, 0]","[23.84799708405477, 34.25293043944612, 41.89907247649913]","[0, 0, 0]",-1.71428571,1.0,0.23847997084054773,1,-1
182,1,0,0,1,-1,"[0, 0, 0]","[24.901329196044873, 25.234964317813493, 49.86370648614163]","[0, 0, 0]",-0.85714286,1.0,0.24901329196044875,1,-1
198,4,43.75,131.25,4,0,"[100, 0, 0]","[44.0981421091185, 30.84358443407995, 25.058273456801544]","[72.04907105455925, 15.421792217039975, 12.529136728400772]",2.05714286,1.0,0.440981421091185,1,-1
204,4,20.0,20.0,2,0,"[100, 0, 0]","[26.051240827163863, 32.32737120109028, 41.621387971745854]","[63.02562041349852, 16.163685601690762, 20.81069398481072]",2.57142857,1.0,0.26051240827163863,1,-1
6,1,0,0,1,-1,"[0, 0, 0]","[0.7049633904432864, 5.156842935398399, 94.13819367415832]","[0, 0, 0]",-2.82857143,1.0,0.007049633904432864,1,-1
