id	created_at	updated_at	id_usuario	id_tema	bajo	regular	bueno
1914	NULL	NULL	113	7	40	35	25
1915	NULL	NULL	113	81	40	35	25
1916	NULL	NULL	113	36	40	30	30
1917	NULL	NULL	113	8	5	5	90
1918	NULL	NULL	113	9	35	35	30
1919	NULL	NULL	113	80	40	40	20
1920	NULL	NULL	113	11	35	35	30
1921	NULL	NULL	113	25	60	25	15
1922	NULL	NULL	113	170	55	35	10
1923	NULL	NULL	113	39	30	30	40
1924	NULL	NULL	113	99	35	40	25
1925	NULL	NULL	113	161	40	40	20
1926	NULL	NULL	113	34	40	40	20
1927	NULL	NULL	113	33	20	45	35
1928	NULL	NULL	113	27	30	35	35
1929	NULL	NULL	113	100	25	35	40
1930	NULL	NULL	113	29	30	30	40
1931	NULL	NULL	113	28	35	30	35
1932	NULL	NULL	113	166	50	30	20
1933	NULL	NULL	113	167	40	40	20
1934	NULL	NULL	113	30	30	40	30
1935	NULL	NULL	113	168	40	30	30
1936	NULL	NULL	113	101	30	40	30
1937	NULL	NULL	113	95	35	40	25
1938	NULL	NULL	113	31	35	45	20
1939	NULL	NULL	113	169	40	40	20
1940	NULL	NULL	113	96	35	45	20
1941	NULL	NULL	113	97	20	20	60
1942	NULL	NULL	113	32	25	30	45
1943	NULL	NULL	113	98	25	35	40
1944	NULL	NULL	113	186	30	45	25
1945	NULL	NULL	113	10	20	30	50
1946	NULL	NULL	113	71	25	30	45
1947	NULL	NULL	113	72	20	20	60
1948	NULL	NULL	113	73	10	20	70
1949	NULL	NULL	113	76	40	40	20
1950	NULL	NULL	113	75	30	30	40
1951	NULL	NULL	113	74	30	30	40
1952	NULL	NULL	113	77	25	25	50
1953	NULL	NULL	113	187	40	30	30
1954	NULL	NULL	113	24	50	20	30
1955	NULL	NULL	113	82	25	40	35
1956	NULL	NULL	113	78	40	35	25
1957	NULL	NULL	113	83	35	45	20
1958	NULL	NULL	113	79	20	40	40
1959	NULL	NULL	113	86	40	35	25
1960	NULL	NULL	113	88	25	35	40
1961	NULL	NULL	113	163	35	35	30
1962	NULL	NULL	113	91	25	30	45
1963	NULL	NULL	113	165	45	40	15
1964	NULL	NULL	113	164	20	20	60
1965	NULL	NULL	113	53	35	45	20
1966	NULL	NULL	113	19	25	30	45
1967	NULL	NULL	113	54	30	45	25
1968	NULL	NULL	113	55	45	35	20
1970	NULL	NULL	113	57	35	40	25
1971	NULL	NULL	113	58	50	38	12
1972	NULL	NULL	113	60	25	35	40
1973	NULL	NULL	113	59	45	40	15
1974	NULL	NULL	113	188	30	30	40
1975	NULL	NULL	113	189	15	35	50
1976	NULL	NULL	113	190	15	35	50
1977	NULL	NULL	113	23	10	20	70
1978	NULL	NULL	113	181	5	15	80
1979	NULL	NULL	113	61	15	10	75
1980	NULL	NULL	113	182	10	30	60
1981	NULL	NULL	113	62	10	10	80
1982	NULL	NULL	113	183	30	30	40
1983	NULL	NULL	113	63	20	20	60
1984	NULL	NULL	113	184	40	45	15
1986	NULL	NULL	113	185	60	25	15
1987	NULL	NULL	113	172	10	25	65
1988	NULL	NULL	113	173	30	50	20
1989	NULL	NULL	113	174	10	25	65
1990	NULL	NULL	113	176	20	50	30
1991	NULL	NULL	113	175	30	40	30
1992	NULL	NULL	113	177	35	40	25
1993	NULL	NULL	113	180	30	40	30
1994	NULL	NULL	113	179	25	35	40
1995	NULL	NULL	113	178	30	40	30
1996	NULL	NULL	113	191	30	35	35
1997	NULL	NULL	113	192	35	45	20
1998	NULL	NULL	113	41	35	40	25
1999	NULL	NULL	113	193	35	45	20
2000	NULL	NULL	113	42	20	30	50
2002	NULL	NULL	113	194	30	40	30
2003	NULL	NULL	113	50	5	5	90
2004	NULL	NULL	113	49	30	50	20
2005	NULL	NULL	113	48	30	45	25
2006	NULL	NULL	113	47	35	40	25
2007	NULL	NULL	113	46	25	40	35
2008	NULL	NULL	113	44	20	30	50
2009	NULL	NULL	113	195	30	40	30
2010	NULL	NULL	113	196	40	40	20
2011	NULL	NULL	113	197	50	30	20
2012	NULL	NULL	113	198	50	30	20
2013	NULL	NULL	113	199	35	40	25
2014	NULL	NULL	113	200	35	40	25
2015	NULL	NULL	113	201	40	40	20
2016	NULL	NULL	113	202	40	35	25
2017	NULL	NULL	113	203	20	30	50
2018	NULL	NULL	113	204	30	20	50
2019	NULL	NULL	113	205	35	35	30
2020	NULL	NULL	113	206	45	35	20
2021	NULL	NULL	113	207	45	35	20
2022	NULL	NULL	113	208	45	40	15
2023	NULL	NULL	113	209	55	30	15
2024	NULL	NULL	116	36	50	30	20
2025	NULL	NULL	116	8	20	30	50
2026	NULL	NULL	116	9	32	35	33
2027	NULL	NULL	116	80	50	20	30
2028	NULL	NULL	116	11	40	30	30
2029	NULL	NULL	116	25	50	25	25
2030	NULL	NULL	116	170	60	30	10
2031	NULL	NULL	116	39	40	26	34
2032	NULL	NULL	116	99	30	40	30
2033	NULL	NULL	116	161	60	20	20
2034	NULL	NULL	116	34	40	30	30
2035	NULL	NULL	116	33	45	30	25
2036	NULL	NULL	85	12	10	20	70
2037	NULL	NULL	85	37	5	15	80
2038	NULL	NULL	85	35	20	20	60
2039	NULL	NULL	85	6	0	10	90
2040	NULL	NULL	85	7	20	30	50
2041	NULL	NULL	85	81	5	10	85
2042	NULL	NULL	85	36	5	10	85
2043	NULL	NULL	85	8	10	10	80
2044	NULL	NULL	85	9	20	30	50
2045	NULL	NULL	85	80	20	20	60
2046	NULL	NULL	85	11	5	10	85
2047	NULL	NULL	85	25	20	10	70
2048	NULL	NULL	85	170	30	30	40
2049	NULL	NULL	85	39	0	10	90
2050	NULL	NULL	85	99	10	10	80
2051	NULL	NULL	85	161	10	40	50
2052	NULL	NULL	85	34	10	20	70
2053	NULL	NULL	85	33	20	20	60
2054	NULL	NULL	85	27	10	20	70
2055	NULL	NULL	85	100	30	30	40
2056	NULL	NULL	85	29	20	20	60
2057	NULL	NULL	85	28	20	20	60
2058	NULL	NULL	85	166	30	10	60
2059	NULL	NULL	85	167	30	20	50
2060	NULL	NULL	85	30	30	20	50
2061	NULL	NULL	85	168	20	30	50
2062	NULL	NULL	85	101	20	20	60
2063	NULL	NULL	85	95	10	20	70
2064	NULL	NULL	85	31	30	20	50
2065	NULL	NULL	85	169	30	40	30
2066	NULL	NULL	85	96	20	30	50
2067	NULL	NULL	85	97	5	15	80
2068	NULL	NULL	85	32	20	20	60
2069	NULL	NULL	85	98	20	30	50
2070	NULL	NULL	85	186	30	40	30
2071	NULL	NULL	85	10	30	10	60
2072	NULL	NULL	85	71	30	30	40
2073	NULL	NULL	85	72	10	40	50
2074	NULL	NULL	85	73	20	20	60
2075	NULL	NULL	85	76	30	30	40
2076	NULL	NULL	85	75	30	30	40
2077	NULL	NULL	85	74	20	40	40
2078	NULL	NULL	85	77	30	20	50
2079	NULL	NULL	85	187	30	30	40
2080	NULL	NULL	85	24	10	20	70
2081	NULL	NULL	85	82	20	30	50
2082	NULL	NULL	85	78	20	30	50
2083	NULL	NULL	85	83	10	20	70
2084	NULL	NULL	85	79	20	30	50
2085	NULL	NULL	85	86	20	10	70
2086	NULL	NULL	85	88	20	10	70
2087	NULL	NULL	85	163	10	30	60
2088	NULL	NULL	85	91	10	20	70
2089	NULL	NULL	85	165	15	15	70
2090	NULL	NULL	85	164	15	15	70
2091	NULL	NULL	85	53	20	20	60
2092	NULL	NULL	85	19	10	10	80
2093	NULL	NULL	85	54	10	10	80
2094	NULL	NULL	85	55	20	20	60
2095	NULL	NULL	120	26	10	60	30
2096	NULL	NULL	120	94	15	75	10
2097	NULL	NULL	120	37	5	90	5
2098	NULL	NULL	120	35	5	90	5
2099	NULL	NULL	120	6	5	90	5
2100	NULL	NULL	120	12	10	75	15
2101	NULL	NULL	120	7	5	75	20
2102	NULL	NULL	120	81	10	65	25
2104	NULL	NULL	85	57	20	10	70
2105	NULL	NULL	85	58	30	40	30
2106	NULL	NULL	85	60	20	30	50
2107	NULL	NULL	85	59	30	40	30
2108	NULL	NULL	85	188	20	20	60
2109	NULL	NULL	85	189	15	15	70
2110	NULL	NULL	85	190	30	20	50
2111	NULL	NULL	85	23	15	15	70
2112	NULL	NULL	85	181	10	20	70
2113	NULL	NULL	85	61	20	20	60
2114	NULL	NULL	85	182	20	10	70
2115	NULL	NULL	85	62	20	30	50
2116	NULL	NULL	85	183	10	20	70
2117	NULL	NULL	85	63	20	30	50
2118	NULL	NULL	85	184	20	30	50
2119	NULL	NULL	85	185	20	40	40
2120	NULL	NULL	85	172	10	20	70
2121	NULL	NULL	85	173	30	20	50
2122	NULL	NULL	85	174	10	20	70
2123	NULL	NULL	85	176	20	10	70
2124	NULL	NULL	85	175	20	30	50
2125	NULL	NULL	85	177	20	30	50
2126	NULL	NULL	85	180	10	10	80
2127	NULL	NULL	85	179	15	15	70
2128	NULL	NULL	85	178	15	15	70
2129	NULL	NULL	85	191	10	20	70
2130	NULL	NULL	85	192	20	20	60
2131	NULL	NULL	85	41	10	10	80
2132	NULL	NULL	85	42	20	30	50
2134	NULL	NULL	85	194	25	25	50
2135	NULL	NULL	85	50	10	30	60
2136	NULL	NULL	85	49	15	25	60
2137	NULL	NULL	85	48	15	25	60
2138	NULL	NULL	85	47	20	20	60
2139	NULL	NULL	85	46	10	20	70
2140	NULL	NULL	85	44	10	10	80
2141	NULL	NULL	85	195	25	25	50
2142	NULL	NULL	85	196	20	30	50
2143	NULL	NULL	85	197	15	35	50
2144	NULL	NULL	85	198	20	30	50
2145	NULL	NULL	85	199	20	30	50
2146	NULL	NULL	85	200	20	20	60
2147	NULL	NULL	85	201	30	30	40
2148	NULL	NULL	85	202	20	20	60
2149	NULL	NULL	85	203	10	30	60
2150	NULL	NULL	85	204	20	30	50
2151	NULL	NULL	85	205	20	40	40
2152	NULL	NULL	85	206	20	30	50
2153	NULL	NULL	85	207	20	30	50
2154	NULL	NULL	85	208	20	30	50
2155	NULL	NULL	85	209	20	30	50
2157	NULL	NULL	121	94	10	30	60
