ID,Clasificación,Ponderación,Sumatoria Ponderaciones,Contador,Grado de Conocimiento,Matriz Ponderación,Matriz Inferencia,Matriz Inferencia Final,Dificultad,Discriminación,Adivinación,Asintota,Orden Evaluación
58,4,6.25,6.25,2,0,"100,0,0","41.04217897364646,42.706914679923194,16.250906346430337","70.52108619140313,21.35346118062593,8.12545262797095",0.85714286,1,0.4104217897364646,1,-1
73,1,0,0,1,-1,"0,0,0","25.92934015023133,32.01407327947231,42.05658657029635","0,0,0",0.17142857,1,0.2592934015023133,1,-1
88,4,6.25,100,2,2,"100,0,0","28.281585540093506,23.898817452999783,47.81959700690671","64.14079276802916,11.949408722870283,23.90979850910056",-1.54285714,1,0.28281585540093507,1,-1
99,3,100,1240.078125,31,2,"0,0,100","11.156708138517363,17.510830957464044,71.33246090401859","5.5783540692586815,8.75541547873202,85.6662304520093",-2.31428571,1,0.11156708138517363,1,5
161,4,53.125,100,4,2,"100,0,0","27.29808713987364,31.94060909206594,40.76130376806043","63.64904356965505,15.970304545966984,20.380651884377972",-2.57142857,1,0.2729808713987364,1,-1
170,4,7.25,100,4,2,"100,0,0","43.83814126038305,30.915008176518597,25.246850563098356","71.91907063019153,15.457504088259299,12.623425281549178",-1.11428571,1,0.43838141260383046,1,-1
172,1,0,0,1,-1,"0,0,0","15.949468638822678,28.108871714489936,55.941659646687384","0,0,0",-0.68571429,1,0.15949468638822678,1,-1
184,4,3.125,3.125,2,0,"100,0,0","31.136876360214433,40.620492981091694,28.24263065869388","65.56843577916558,20.31024433266931,14.121319888165104",-0.68571429,1,0.3113687636021443,1,-1
200,1,0,0,1,-1,"0,0,0","40.98290113348722,31.042024332306323,27.975074534206463","0,0,0",2.22857143,1,0.40982901133487215,1,-1
206,1,0,0,1,-1,"0,0,0","30.04280593767915,40.80003308572176,29.157160976599084","0,0,0",2.74285714,1,0.3004280593767915,1,-1
11,3,100,421.875,12,2,"0,0,100","8.903038024505927,13.197269899301034,77.89969207619303","4.451519012252964,6.598634949650517,88.94984603809652",-2.65714286,1,0.08903038024505927,1,4
25,4,100.0,200,3,2,"0,0,100","35.07596530049643,24.112174643368324,40.81186005613525","17.537982650248715,12.056087321683668,70.40593002806762",-2.65714286,1,0.35075965300496426,1,-1
57,4,12.5,12.5,2,0,"100,0,0","30.88279661396592,37.890551860248685,31.2266515257854","65.44100097860526,18.9459472481005,15.613051773294236",0.77142857,1,0.3088279661396592,1,-1
63,1,0,0,1,-1,"0,0,0","22.035911913038618,28.850621196558812,49.11346689040256","0,0,0",-0.77142857,1,0.22035911913038617,1,-1
72,1,0,0,1,-1,"0,0,0","32.05811733702643,29.93785195425554,38.00403070871802","0,0,0",0.08571429,1,0.3205811733702643,1,-1
80,4,12.45,100,6,2,"100,0,0","27.36196173457493,27.82120810921477,44.81683015621031","63.68098086728747,13.910604054607385,22.408415078105154",-1.2,1,0.2736196173457493,1,-1
